source,target
"persistent sadness, sleep disturbance",depression
runny nose and nasal congestion,allergic_rhinitis
"nausea, sensitivity to light, na",migraine
"bone pain, back pain",osteoporosis
"urgency, frequent urination",urinary_tract_infection
runny nose,common_cold
"fatigue, loss of taste, dry cough, fever, fatigue since yesterday",covid-19
fatigue,influenza
"blurred vision, weight loss, increased thirst, fatigue, frequent urination for 2 days",diabetes
"loss of height, fractures, bone pain and back pain",osteoporosis
shortness of breath and chest pain,heart_disease
"I have night cough, chest tightness, wheezing, shortness of breath",asthma
"loss of interest, sleep disturbance, fatigue, persistent sadness",depression
"nausea, shortness of breath, wheezing, night cough, chest tightness",asthma
"ear drainage, hearing difficulty, ",otitis_media
"shortness of breath, fatigue, pale skin, dizziness",anemia
left arm pain for 2 days,heart_disease
"fatigue, dry cough, fever, loss of taste, loss of smell",covid-19
"moderate shortness of breath, stomach cramps, pale skin",anemia
"ear pain, hearing difficulty, ear drainage and fever",otitis_media
mucus,anxiety
"chest pain, sweating",heart_disease
"I have trembling, sweating, red patches, restlessness",anxiety
persistent sadness,depression
"dizziness, blurred vision, headache",hypertension
"back pain, sensitivity to light and fractures",osteoporosis
fatigue,diabetes
"chest discomfort, fatigue, shortness of breath, blurred vision, mucus, persistent cough",bronchitis
"severe runny nose, mild cough and nasal congestion",common_cold
"dizziness, blurred vision, headache, nosebleed",hypertension
"fractures, dizziness, nosebleed, blurred vision",hypertension
severe nasal congestion,common_cold
"chest discomfort, shortness of breath for 2 days",bronchitis
"nasal congestion, fractures, loss of height, back pain",osteoporosis
"nasal congestion, mild cough, runny nose, sneezing",common_cold
"severe mucus, chest discomfort, bone pain",bronchitis
"wheezing, sneezing, chest tightness",asthma
"fatigue, dry cough, loss of taste,",covid-19
"ear pain, hearing difficulty, ear drainage, fever",otitis_media
"sneezing, nasal congestion, itchy eyes, runny nose",allergic_rhinitis
"trembling, restlessness, sweating, ra",anxiety
"itchy skin, dry skin, red patches and blisters",eczema
"shortness of breath, fever, productive cough, chest pain",pneumonia
"fatigue, pale skin, dizziness",anemia
moderate severe headache and sensitivity to light,migraine
fractures,osteoporosis
"severe headache, sensitivity to light, nausea",migraine
"severe headache, visual aura, sensitivity to light, nausea",migraine
"severe lower abdominal pain, urgen",urinary_tract_infection
"pale skin, visual aura, nausea, dizziness and fatigue",anemia
nausea and fever,appendicitis
"persistent cough, mucus, sleep disturbance, fatigue, loss of interest, persistent sadness for 2 days",depression
"sneezing, loss of smell, fatigue",covid-19
"chest pain, left arm pain",heart_disease
"sneezing, runny nose, nasal congestion, shortness of breath and chest discomfort",allergic_rhinitis
"runny nose, mild cough, nasal congestion, sneezing",common_cold
"chest pain, productive cough, fev",pneumonia
frequent urination,urinary_tract_infection
mild fever,otitis_media
"left arm pain, shortness of breath, sweating",heart_disease
fever,otitis_media
burning urination,urinary_tract_infection
"mucus, persistent cough for 2 days",bronchitis
"frequent urination, lower abdominal pain, burning urination, urgency",urinary_tract_infection
"rapid heartbeat, restlessness, trembling",anxiety
"hearing difficulty, ear drainage, ear pain, fever",otitis_media
"chills, loss of smell, cough",influenza
"Patient reports blurred vision, dizziness, nosebleed for s",hypertension
"nosebleed, headache, dizziness",hypertension
"fever, ear pain for 2 days",otitis_media
"fever, hearing difficulty",otitis_media
trembling,anxiety
"dizziness, nosebleed, blurred vision",hypertension
productive cough,pneumonia
"moderate body ache, fever, fatigue, dry skin, cough",influenza
I have shortness of breath and chest pain,heart_disease
shortness of breath,bronchitis
"fatigue, fever, shortness of breath since yesterday",anemia
"red patches, dry skin, itchy skin, blisters",eczema
"stomach cramps, vomiting for 2 days",gastroenteritis
"sweating, trembling",anxiety
severe visual aura,migraine
nausea,appendicitis
"restlessness, sweating, rapid heartbeat, trem",anxiety
"runny nose, sneezing, nasal congestion, itchy eyes",allergic_rhinitis
"dizziness, blurred vision, nosebleed, headache",hypertension
"bone pain, fractures",osteoporosis
"loss of smell, loss of taste, fever",covid-19
"red patches, blisters",eczema
"Complains of sleep disturbance, loss of interest, fatigue, persistent sadness",depression
"shortness of breath, chest pain, productive cough, fever",pneumonia
"nosebleed, blurred vision, headache, dizziness",hypertension
"Complains of red patches, dry skin, itchy skin, blisters for 2 days",eczema
I have hearing difficulty,otitis_media
"sweating, left arm pain, shortness of breath, chest pain",heart_disease
itchy skin and red patches,eczema
"runny nose, dry cough, loss of smell, mild cough, fatigue and loss of taste",covid-19
"mild mild cough, nasal congestion, sneezing, runny nose",common_cold
"severe headache, nausea, visual aura",migraine
nasal congestion,allergic_rhinitis
"ear drainage, right lower abdominal pain, nausea and ear pain",otitis_media
body ache,appendicitis
"moderate loss of interest, persistent sadness, sleep disturbance since yesterday",depression
"lower abdominal pain, loss of interest, frequent urination, urgency and fatigue",urinary_tract_infection
"fatigue, body ache",influenza
"shortness of breath, dizziness, fatigue, pale skin",anemia
frequent urination and lower abdominal pain,urinary_tract_infection
severe nausea,gastroenteritis
"shortness of breath, fatigue",anemia
"shortness of breath, left arm pain, sweating, chest pain",heart_disease
"itchy eyes, runny nose, dry cough and nasal congestion",allergic_rhinitis
sweating for 2 days,heart_disease
"I have wheezing, fever, shortness of breath, nause",asthma
"mucus, dizziness and pale skin",anemia
"nasal congestion, sneezing, itchy eyes, runny nose",allergic_rhinitis
"mild bone pain, back pain, loss of height, fractures since yesterday",osteoporosis
"moderate nausea, right lower abdominal pain, fever, loss of appetite",appendicitis
chest discomfort,bronchitis
nausea,migraine
"persistent cough, shortness of breath, mucus",bronchitis
"Patient reports shortness of breath, pale skin",anemia
mild burning urination,urinary_tract_infection
"persistent cough, mucus, chest discomfort, shortness of breath",bronchitis
sweating and shortness of breath,heart_disease
"I have loss of appetite, night cough, chest tightness, shortness of breath and wheezing",asthma
"night cough, shortness of breath",asthma
"dry cough, loss of smell, fever",covid-19
"fatigue, dizziness, body ache",anemia
"shortness of breath, frequent urination",heart_disease
fatigue,allergic_rhinitis
rapid heartbeat and sweating,anxiety
"severe headache, sensitivity to light, nausea, visual aura",migraine
"itchy skin, red patches, blisters, dry skin",eczema
pale skin and shortness of breath,anemia
"runny nose, restlessness, nasal congestion, sneezing",common_cold
"fever, itchy eyes, chest pain for 2 days",pneumonia
"severe persistent sadness, fatigue, sleep disturbance",depression
chest discomfort,bronchitis
urgency,urinary_tract_infection
"moderate rapid heartbeat, trembling, sweating, restlessness for several months",anxiety
"severe nasal congestion, runny nose, sneezing",common_cold
"persistent cough, chest discomfort, mucus, shortness of breath",bronchitis
bone pain,osteoporosis
"itchy eyes, runny nose, sneezing, nasal congestion",allergic_rhinitis
"fractures, back pain",osteoporosis
itchy skin,eczema
"blisters, dry skin, red patches, itchy skin",eczema
itchy skin,eczema
"Complains of urgency, lower abdominal pain, burning urination, frequent urination",urinary_tract_infection
fever for a week,influenza
"persistent cough, shortness of breath, chest discomfort",bronchitis
mild cough and nasal congestion,common_cold
"moderate rapid heartbeat, loss of taste, sweating",anxiety
"red patches, blisters, itchy s",eczema
"I have mild shortness of breath, dizziness for a week",anemia
stomach cramps,gastroenteritis
"I have chest discomfort, persistent cough, mucus, shortness of breath and mild cough",bronchitis
"productive cough, loss of height, fra",osteoporosis
"dry skin, blisters for several months",eczema
"loss of taste, loss of smell, fatigue",covid-19
"fatigue, fever",covid-19
severe sore throat,influenza
"mild cough, sneezing",common_cold
"frequent urination, fatigue, increased thirst, weight loss, blurred vision",diabetes
"nasal congestion, runny nose, itchy eyes, sneezing since yesterday",allergic_rhinitis
"shortness of breath, wheezing, chest tightness, night cough",asthma
"visual aura, nausea, severe headache, dizziness, s",migraine
shortness of breath,heart_disease
"shortness of breath, chest tightness, wheezing",asthma
"frequent urination, fatigue, weight loss and blurred vision",diabetes
"I have ear pain, ear drainage, sneezing",otitis_media
"frequent urination, lower abdominal pain, urgency, burning urination",urinary_tract_infection
"body ache, sore throat, fever, fatigue, cough, chills for a week",influenza
"chest discomfort, mucus",bronchitis
"chest pain, sweating",heart_disease
"lower abdominal pain, frequent urination, urgency",urinary_tract_infection
loss of appetite and fever,appendicitis
"burning urination, chills and urgency",urinary_tract_infection
"fractures, dry skin",osteoporosis
"Complains of increased thirst, frequent urination, weight loss and blurred vision",diabetes
trembling and sweating,anxiety
"fatigue, sleep disturbance, loss of interest, persistent sadness",depression
"mild fever, ear pain",otitis_media
"moderate urgency, shortness of breath",pneumonia
"right lower abdominal pain, loss of appetite",appendicitis
"fractures, loss of height, back pain, bone pain",osteoporosis
"burning urination, lower abdominal pain, frequent urination",urinary_tract_infection
"fever, loss of taste, persistent sadness and fatigue",covid-19
"mild left arm pain, chest pain, sweating, shortness",heart_disease
"I have dizziness, shortness of breath for 2 days",anemia
sweating,bronchitis
"Complains of blurred vision, fever, nosebleed",hypertension
productive cough and chest pain for 2 days,pneumonia
"I have trembling, sweating, restlessness",anxiety
"severe chills, fever, cough, sore throat and fatigue",influenza
"sweating, shortness of breath and l",heart_disease
